,split,source_language,target_language
125,train,he 's not at home .,il n'est pas chez lui .
126,train,he 's so young .,il est si jeune .
127,train,"he 's not rich , but he 's happy .","s'il n'est pas riche , il est en tous cas heureux ."
128,train,he 's very ill .,il est très malade .
129,train,he 's the chairman of the committee .,il est le président du comité .
130,train,"he 's very honest , so we can depend on him .","il est très honnête , donc nous pouvons nous reposer sur lui ."
131,train,he 's always breaking into our conversation .,il se mêle toujours de notre conversation .
132,train,he 's incredibly stupid .,il est incroyablement idiot .
133,train,he 's a bit naive .,il est un peu naïf .
134,train,he 's not my cousin .,ce n'est pas mon cousin .
135,train,he 's the class clown .,c'est le pitre de la classe .
136,train,he 's about to finish reading the book .,il est sur le point de terminer la lecture de l'ouvrage .
137,train,he 's very fond of walking .,il adore marcher .
138,train,he 's so stupid .,il est tellement idiot !
139,train,he 's a bit jealous .,il est un peu jaloux .
140,train,he 's helping me .,il m'aide .
141,train,he 's my friend .,c ’ est mon ami .
142,train,he 's a southpaw .,il est gaucher .
143,train,"he 's shy , and never speaks unless spoken to . you have to talk to him .",il est timide . il ne parle jamais sauf si on lui parle . tu dois lui parler .
144,train,he 's my husband .,il est mon époux .
145,train,he 's a very nice boy .,c'est un très gentil garçon .
146,train,he 's too trusting .,il est trop confiant .
147,train,he 's one of the best .,il est l'un des meilleurs .
148,train,he 's never been abroad in his life .,il n ' a jamais été à l'étranger de toute sa vie .
149,train,he 's hungry and thirsty .,il a faim et soif .
150,train,he 's the one who touched me .,c'est celui qui m ' a tripotée .
151,train,he 's handsome and charming .,il est beau et a du charme .
152,train,he 's a cardiologist .,c'est un cardiologue .
153,train,he 's too drunk .,il est trop ivre .
154,train,he 's incredibly talented .,il est doté d'un talent incroyable .
155,train,he 's got an uncle who works in a bank .,il a un oncle qui travaille dans une banque .
156,train,he 's coming .,il est en train d'arriver .
157,train,he 's in pain .,il souffre .
158,train,he 's out of town .,il n'est pas en ville .
159,train,he 's allergic to cats .,il a une allergie aux chats .
160,train,he 's raking it in .,il gagne plein de thune .
161,train,he 's playing with my cat .,il joue avec mon chat .
162,train,he 's henpecked .,il est harcelé .
163,train,he 's still alive .,il est toujours en vie .
164,train,he 's extremely happy .,il est extrêmement heureux .
165,train,he 's not young anymore .,il n'est plus tout jeune .
166,train,he 's such a great guy .,c'est un type tellement sympa !
167,train,he 's about to leave .,il est sur le point de partir .
168,train,he 's not ready .,il n'est pas prêt .
169,train,he 's about to go .,il est sur le point d ' y aller .
170,train,he 's a newcomer .,c'est un nouveau venu .
171,train,"he 's very honest , so we can rely on him .","il est très honnête , donc nous pouvons nous fier à lui ."
172,train,he 's addicted to heroin .,il est héroïno-dépendant .
173,train,he 's feeling much better .,il se sent beaucoup mieux .
174,train,he 's doing his german homework .,il fait son devoir d'allemand .
175,train,he 's very protective .,il est très protecteur .
176,train,he 's a goal keeper .,il est gardien de but .
177,train,he 's not worthy of you .,il n'est pas digne de toi .
178,train,he 's my partner .,c'est mon partenaire .
179,train,he 's kind of cute .,il est assez mignon .
180,train,he 's a freshman .,c'est un bizuth .
181,train,he 's photogenic .,il est photogénique .
182,train,he 's smart and ambitious .,il est intelligent et ambitieux .
183,train,he 's under the chair .,il est sous la chaise .
184,train,he 's a very hard worker .,c'est un employé très travailleur .
185,train,he 's a powerful sorcerer .,c'est un puissant sorcier .
186,train,he 's always late for school .,il est toujours en retard à l'école .
187,train,he 's a filthy liar .,c'est un sale menteur !
188,train,he 's no saint .,il n'est pas un saint .
189,train,he 's a smart little feller .,c'est un petit gars intelligent .
190,train,he 's from georgia .,il est originaire de géorgie .
191,train,he 's lived here his entire life .,il a vécu ici toute sa vie .
192,train,he 's now a college student .,il est maintenant étudiant à la fac .
193,train,he 's not perfect .,il n'est pas parfait .
194,train,he 's on his way .,il est en chemin .
195,train,he 's their only child .,c'est leur unique enfant .
196,train,he 's brighter than they are .,il est plus intelligent qu'eux .
197,train,he 's not a hero .,ce n'est pas un héros .
198,train,he 's going to love this .,il va adorer ça .
199,train,he 's always complaining about the food .,il se plaint toujours de la nourriture .
200,train,he 's bulked up quite a bit since he 's been going to the gym .,il s'est pas mal musclé depuis qu'il va à la gym .
201,train,he 's ahead in the race .,il est en tête de la course .
202,train,he 's the new ceo from the parent company in france .,il est le nouveau pdg de la société mère en france .
203,train,he 's innocent .,il est ingénu .
204,train,he 's the prom king and she 's the prom queen .,il est le roi du bal et elle en est la reine .
205,train,he 's cleaning his rifle .,il nettoie sa carabine .
206,train,he 's not going .,il ne s ' y rend pas .
207,train,he 's the one who touched me .,c'est celui qui m ' a tripoté .
208,train,he 's out of practice .,il est rouillé .
209,train,he 's a short order cook .,il cuisine à la demande .
210,train,he 's ashamed of his body .,il a honte de son corps .
211,train,he 's waiting for you at home .,il t'attend chez moi .
212,train,he 's your friend .,il est votre ami .
213,train,he 's a fine young lad .,c'est un bon gars .
214,train,he 's a successful businessman .,c'est un homme d'affaire à succès .
215,train,he 's not breaking the law .,il n'enfreint pas la loi .
216,train,he 's young and attractive .,il est jeune et attirant .
217,train,he 's an excellent kisser .,il embrasse sublimement .
218,train,he 's a regular at the bars and pubs around here .,c'est un client régulier des bars et des pubs du coin .
219,train,he 's done it before .,il l ' a fait auparavant .
220,train,he 's decided to leave the company .,il a décidé de quitter la troupe .
221,train,he 's asleep .,il est endormi .
222,train,he 's in hot water .,il est dans la mouise .
223,train,he 's a talented young director .,c'est un jeune directeur plein de talent .
224,train,he 's not going .,il ne s'en va pas .
225,train,he 's ready to go .,il est prêt à y aller .
226,train,he 's after me .,il est après mes fesses .
227,train,he 's been doing this for over twenty years .,il fait ça depuis plus de vingt ans .
228,train,he 's really quick .,il est vraiment rapide .
229,train,he 's a senior .,c'est un retraité .
230,train,he 's a very fine musician .,c'est un très bon musicien .
231,train,he 's two years older than mary is .,il est deux ans plus vieux que mary .
232,train,he 's a liar .,c'est un menteur .
233,train,he 's so young .,il est tellement jeune .
234,train,he 's the same age as me .,il a le même âge que moi .
235,train,he 's not serious .,il n'est pas sérieux .
236,train,he 's too old for me .,il est trop vieux pour moi .
237,train,he 's here for me .,il est là pour moi .
238,train,he 's in prison .,il se trouve en prison .
239,train,he 's a senior .,c'est un ancien .
240,train,he 's a bartender .,c'est un tenancier de bar .
241,train,he 's doing it right .,il le fait correctement .
242,train,he 's a slowpoke .,c'est un lourdaud .
243,train,he 's bulked up quite a bit since he 's been going to the gym .,il s'est pas mal renforcé depuis qu'il va à la gym .
244,train,he 's a professional photographer .,il est photographe professionnel .
245,train,he 's interested in mayan prophecies .,il s'intéresse aux prophéties mayas .
246,train,he 's not allowed to leave the country .,il n'est pas autorisé à quitter le pays .
247,train,he 's raking it in .,il ramasse l'argent à la pelle .
248,train,he 's a nervous wreck .,c'est une boule de nerfs .
249,train,he 's the most likely to succeed .,il est celui qui a le plus de chances de réussir .
250,train,he 's checking his cellphone .,il vérifie son téléphone portable .
251,train,he 's your son .,il est votre fils .
252,train,"he 's a crybaby , just like always .","c'est un pleurnichard , comme toujours ."
253,train,he 's not the brightest guy in the world .,ce n'est pas une lumière .
254,train,"he 's a young , impressionable teenager .",c'est un jeune adolescent impressionnable .
255,train,he 's your son .,c'est ton fils .
256,train,he 's raking it in .,il s'en met plein les poches .
257,train,he 's not my father .,il n'est pas mon père .
258,train,he 's a law-abiding citizen .,c'est un citoyen respectueux des lois .
259,train,he 's a frat boy .,il est membre d'une fraternité étudiante .
260,train,he 's a comedian .,il est comédien .
261,train,he 's not like us .,il n'est pas comme nous .
262,train,he 's always running short of cash .,il est toujours à court de liquide .
263,train,he 's a famous popular singer in japan .,il est un célèbre chanteur populaire au japon .
264,train,he 's out now .,il est actuellement à l'extérieur .
265,train,he 's not very good at it .,il n ' y est pas très bon .
266,train,he 's never been in love before .,jamais il n ' a été amoureux auparavant .
267,train,he 's a bit tipsy .,il est un peu éméché .
268,train,he 's not in .,il n'est pas là .
269,train,he 's mumbling something .,il rumine quelque chose .
270,train,he 's a salesman too .,il est aussi un vendeur .
271,train,he 's learning chinese .,il apprend le chinois .
272,train,he 's a grouch .,c'est un rouspéteur .
273,train,he 's working at his english .,il travaille son anglais .
274,train,he 's here to protect you .,il est là pour vous protéger .
275,train,he 's a lovely young man .,c'est un jeune homme adorable .
276,train,he 's only a couple of years younger than me .,il n ' a que quelques années de moins que moi .
277,train,he 's a nervous wreck .,il est nerveusement usé .
278,train,he 's fluent in japanese .,il parle couramment le japonais .
279,train,he 's reading a novel right now .,"il lit un roman , en ce moment ."
280,train,he 's a late bloomer .,il est tardivement arrivé à maturité .
281,train,he 's had some very good results lately .,"il a eu de très bons résultats , ces derniers temps ."
282,train,he 's an englishman .,il est anglais .
283,train,he 's swiss .,il est helvète .
284,train,he 's still sick in bed .,il est toujours cloué au lit .
285,train,he 's always reading comics .,il lit toujours des bandes dessinées .
286,train,he 's addicted to drugs .,il est accroché aux médicaments .
287,train,he 's a food critic .,c'est un critique gastronomique .
288,train,he 's a smooth talker .,c'est un beau parleur .
289,train,he 's always complaining about something .,il se plaint toujours de quelque chose .
290,train,he 's been waiting here for a long time .,il a longuement attendu ici .
291,train,he 's likely to be late .,il est probable qu'il soit en retard .
292,train,he 's going to get fired .,il va se faire virer .
293,train,he 's stronger than me .,il est plus fort que moi .
294,train,he 's the one who helped me .,c'est lui qui m ' a aidé .
295,train,he 's a nerd .,c'est un binoclard .
296,train,he 's too old for her .,il est trop vieux pour elle .
297,train,he 's allergic to cats .,il est allergique aux chats .
298,train,he 's sitting in the waiting room .,il est assis dans la salle d'attente .
299,train,he 's adorable .,il est adorable .
300,train,he 's mad at his daughter .,il est en colère après sa fille .
301,train,he 's in big trouble .,il est dans la merde .
302,train,he 's been teaching for 20 years .,il enseigne depuis 20 ans .
303,train,he 's playing with my cat .,il joue avec ma chatte .
304,train,he 's here to spy on us .,il est ici pour nous espionner .
305,train,he 's an author .,il est auteur .
306,train,he 's a bit shy .,il est un peu timide .
307,train,he 's a bartender .,il est tenancier de bar .
308,train,he 's a very talented man .,c'est un homme très talentueux .
309,train,he 's just buying time .,il est juste en train de gagner du temps .
310,train,he 's away on business .,il est parti pour affaires .
311,train,he 's a bit drunk .,il est un peu ivre .
312,train,he 's a man you can rely on .,c'est un homme sur qui vous pouvez compter .
313,train,he 's right behind you .,il est juste derrière vous .
314,train,he 's dating my daughter .,il sort avec ma fille .
315,train,he 's about to go .,il est sur le point de s'en aller .
316,train,he 's like a brother to me .,il est comme un frère pour moi .
317,train,he 's such a jerk .,c'est un tel pauvre type !
318,train,he 's not one of us .,il n'est pas des nôtres .
319,train,he 's an expert with a slingshot .,c'est un expert à la fronde .
320,train,he 's a movie buff .,c'est un mordu de cinéma .
321,train,he 's likely to come .,il est probable qu'il vienne .
322,train,he 's going to sit here .,il va s'asseoir ici .
323,train,he 's a control freak .,c'est un malade du contrôle .
324,train,he 's fresh out of college .,il est frais émoulu de l'université .
325,train,he 's unconscious .,il est inconscient .
326,train,he 's head over heels in love .,il est fou amoureux .
327,train,he 's the perfect man for you .,c'est l'homme parfait pour toi .
328,train,he 's more than likely to come .,il est plus que probable qu'il vienne .
329,train,he 's afraid of the sea .,il a peur de la mer .
330,train,he 's good at arithmetic .,il est bon en calcul .
331,train,he 's already left .,il est déjà parti .
332,train,he 's wanted for grand theft auto .,il est recherché pour vol de véhicule .
333,train,he 's talking on the telephone .,il parle au téléphone .
334,train,he 's self-employed .,il est indépendant .
335,train,he 's not a very meticulous guy .,il n'est pas vraiment minutieux .
336,train,he 's a hopeless case .,il est sans espoir .
337,train,he 's out of practice .,il manque de pratique .
338,train,he 's a man you can rely on .,c'est un homme sur qui tu peux compter .
339,train,he 's so cute .,il est si mignon !
340,train,he 's waiting for you at home .,il vous attend chez nous .
341,train,he 's been divorced for 2 years already .,il est divorcé depuis deux ans déjà .
342,train,he 's coming closer .,il se rapproche .
343,train,he 's waiting for you at home .,il vous attend chez lui .
344,train,he 's got a headache .,il a mal à la tête .
345,train,he 's cunning and manipulative .,il est rusé et manipulateur .
346,train,he 's no saint .,ce n'est pas un saint .
347,train,he 's a republican fundraiser .,c'est un collecteur de fonds pour le parti républicain .
348,train,he 's a slacker .,c'est un planqué .
349,train,he 's digging his own grave .,il creuse sa propre tombe .
350,train,he 's been waiting here for a long time .,ça fait longtemps qu'il attend ici .
351,train,he 's almost as tall as me .,il est presque aussi grand que moi .
352,train,he 's a gentleman .,c'est un gentleman .
353,train,he 's still alive .,il est encore en vie .
354,train,he 's going to regret this .,il va le regretter .
355,train,he 's studying hard so he can pass the entrance exam .,il travaille dur afin de réussir l'examen d'entrée .
356,train,he 's leaning on a cane .,il s'appuie sur une canne .
357,train,he 's got lung cancer .,il a le cancer des poumons .
358,train,he 's scared to talk to me .,il a peur de me parler .
359,train,he 's a carbon copy of his father .,il ressemble comme deux gouttes d ’ eau à son père .
360,train,he 's everybody 's friend .,il est l'ami de tout le monde .
361,train,he 's eating lunch now .,"il est en train de prendre son déjeuner , à l'heure actuelle ."
362,train,he 's the one who 's lagging behind .,c'est lui qui est à la traîne .
363,train,he 's at her side .,il se trouve à son côté .
364,train,"he 's screaming , not singing .","il hurle , il ne chante pas ."
365,train,he 's afraid of making mistakes .,il a peur de se tromper .
366,train,he 's in for a shock .,il va avoir un choc .
367,train,he 's a slacker .,c'est un fainéant .
368,train,he 's your father .,il est votre père .
369,train,he 's my younger brother .,il est mon frère cadet .
370,train,he 's nervous and easily frightened .,il est nerveux et facilement effrayé .
371,train,he 's always at home on mondays .,"il se trouve toujours à son domicile , le lundi ."
372,train,he 's very talented .,il est très talentueux .
373,train,he 's just a liar .,ce n'est qu'un menteur .
374,train,he 's tall and slim .,il est grand et mince .
375,train,he 's a teacher and so am i .,il est professeur et moi aussi .
376,train,he 's the most popular boy in the class .,il est le garçon le plus apprécié de la classe .
377,train,he 's very flexible .,il est très flexible .
378,train,he 's had many unhappy experiences .,il a eu beaucoup d'expériences malheureuses .
379,train,he 's a cardiologist .,il est cardiologue .
380,train,he 's now short of money .,il est maintenant à court d'argent .
381,train,he 's a kind person .,il est gentil .
382,train,he 's a jesuit .,il est jésuite .
383,train,he 's a sophomore .,c'est un étudiant de deuxième année .
384,train,he 's deep in debt .,il est endetté jusqu'au cou .
385,train,he 's thrilled with his new job .,il est enthousiasmé par son nouveau travail .
386,train,he 's afraid of making mistakes .,il craint de commettre des erreurs .
387,train,he 's a singer that 's loved by everyone .,c'est un chanteur aimé de tous .
388,train,he 's annoying .,il est embêtant .
389,train,he 's my age .,il a mon âge .
390,train,he 's active and fit .,il est actif et en forme .
391,train,he 's not such a great writer and i think he knows it .,il n'est pas un très bon écrivain et je pense qu'il le sait .
392,train,he 's going to cross the river .,il va traverser la rivière .
393,train,he 's missed the boat .,il a loupé le coche .
394,train,he 's just kidding you .,il se moque juste de toi .
395,train,he 's nervous and gets scared easily .,il est nerveux et facilement effrayé .
396,train,he 's a leading authority in his field .,c'est une sommité dans son domaine .
397,train,he 's in big trouble .,il a de gros problèmes .
398,train,he 's after me .,il me poursuit .
399,train,he 's definitely not coming .,il ne viendra décidément pas .
400,train,he 's a strange guy .,c'est un type étrange .
401,train,he 's getting old .,il se fait vieux .
402,train,he 's not sure he 's ready .,il n'est pas sûr d'être prêt .
403,train,he 's reading a novel right now .,il est en train de lire un roman .
404,train,he 's too young to drink .,il est trop jeune pour boire .
405,train,he 's different from before .,il est différent de ce qu'il était avant .
406,train,he 's an accredited representative of the canadian government .,c'est un représentant accrédité du gouvernement canadien .
407,train,he 's a friend of my brother 's .,c'est un ami de mon frère .
408,train,he 's not going to visit you tomorrow .,il ne vous rendra pas visite demain .
409,train,he 's writing a long letter .,il écrit une longue lettre .
410,train,he 's doing it right .,il le fait comme il faut .
411,train,he 's saving up to go to college .,il économise de l'argent afin qu'il puisse aller à l'université .
412,train,he 's watching me .,il m'observe .
413,train,he 's hungry for power .,il a soif de pouvoir .
414,train,he 's my friend . do you know him ?,c'est mon ami . le connais-tu ?
415,train,he 's still single .,il est encore célibataire .
416,train,he 's a very nice boy .,c'est un garçon très chouette .
417,train,he 's a student of japanese literature .,il est étudiant en littérature japonaise .
418,train,he 's doing his best .,il fait de son mieux .
419,train,he 's buying an old hat .,il achète un vieux chapeau .
420,train,he 's really into soccer .,il est vraiment fondu de foot .
421,train,he 's a very fine musician .,c'est un musicien de grande qualité .
422,train,he 's a tennis player .,il est joueur de tennis .
423,train,he 's a cat lover .,il adore les chats .
424,train,he 's always at home on mondays .,il est toujours chez lui le lundi .
425,train,he 's taking a shower .,il est en train de prendre une douche .
426,train,he 's married .,il est marié .
427,train,he 's a man of many talents .,c'est un homme aux multiples talents .
428,train,he 's looking for a job .,il est à la recherche d'un emploi .
429,train,he 's hiding in the closet .,il se cache dans le placard .
430,train,he 's after me .,il est après moi .
431,train,he 's old and crazy .,il est vieux et fou .
432,train,he 's kind of shy .,il est assez timide .
433,train,he 's accustomed to traveling .,il est habitué à voyager .
434,train,he 's a senior .,c'est un aîné .
435,train,he 's very upset by this .,il est très contrarié par cela .
436,train,he 's an oceanographer .,il est océanographe .
437,train,he 's intimidated by beautiful women .,il est intimidé par les belles femmes .
438,train,he 's waiting for you at home .,il vous attend à la maison .
439,train,he 's an aristocrat .,c'est un aristocrate .
440,train,he 's cruel and heartless .,il est cruel et sans cœur .
441,train,"he 's the one , is n't he ?","c'est lui , n'est-ce pas ?"
442,train,he 's not at all afraid of snakes .,il n ' a pas du tout peur des serpents .
443,train,he 's financially dependent on his wife .,il dépend financièrement de son épouse .
444,train,he 's too slow .,il est trop lent .
445,train,he 's in the shower .,il est dans la douche .
446,train,he 's in my class .,il est dans la même classe que moi .
447,train,he 's after me .,il est derrière moi .
448,train,he 's incredibly talented .,il est incroyablement talentueux .
449,train,he 's addicted .,il a une assuétude .
450,train,he 's hopelessly in love .,il est désespérément amoureux .
451,train,he 's my best friend .,c'est mon meilleur ami .
452,train,he 's sitting in the waiting room .,il est assis en salle d'attente .
453,train,he 's a bad influence .,il a une mauvaise influence .
454,train,he 's with his parents .,il est avec ses parents .
455,train,he 's in danger of being evicted .,il risque d'être expulsé .
456,train,he 's in prison .,il est en prison .
457,train,he 's not in our group .,il ne fait pas partie de notre groupe .
458,train,he 's the captain of a team .,il est capitaine d'une équipe .
459,train,he 's a great kisser .,il embrasse très bien .
460,train,he 's crying .,il est en train de pleurer .
461,train,he 's sleeping like a baby .,il dort comme un bébé .
462,train,he 's your typical workaholic .,"il est l'archétype du bourreau de travail , tel que vous vous l'imaginez ."
463,train,he 's a foreign exchange student .,c'est un étudiant étranger d'un programme d'échange .
464,train,he 's good at what he does .,il est bon dans ce qu'il fait .
465,train,he 's never been in love before .,il n ' a jamais été amoureux auparavant .
466,train,he 's always on time for his appointments .,il est toujours ponctuel pour ses rendez-vous .
467,train,he 's a bit naive .,il est un peu niais .
468,train,he 's open and trusting .,il est ouvert et confiant .
469,train,he 's getting cold feet .,il commence à avoir les jetons .
470,train,he 's sleeping off last night 's bender .,il dort pour se remettre de la beuverie de la nuit dernière .
471,train,he 's an advocate of barefoot running .,il est partisan de la course pieds nus .
472,train,he 's a good liar .,il est bon menteur .
473,train,he 's really selfish .,il est vraiment égoïste .
474,train,he 's pushing fifty .,il frôle les cinquante ans .
475,train,he 's not going .,il n ' y va pas .
476,train,he 's innocent .,il est innocent .
477,train,he 's loaded .,il est pété de thune .
478,train,he 's getting more and more stubborn with age .,il devient de plus en plus têtu avec l'âge .
479,train,he 's here trying to stir up trouble .,il est ici pour chercher la bagarre .
480,train,he 's love struck .,il a le coup de foudre .
481,train,he 's rich .,il est riche .
482,train,he 's got the biggest eyebrows i 've ever seen .,il a les plus gros sourcils que j'ai jamais vus .
483,train,he 's a professor of biology at harvard .,il est professeur de biologie à harvard .
484,train,"he 's very honest , so we can rely on him .","il est très honnête , donc nous pouvons nous y fier ."
485,train,he 's better at it than i am .,il y est meilleur que je ne le suis .
486,train,he 's in his fifties .,il a la cinquantaine .
487,train,he 's going to have a heart attack .,il va avoir une attaque cardiaque .
488,train,he 's not sure he wants to do this .,il n'est pas sûr de vouloir le faire .
489,train,he 's at her side .,il est à son côté .
490,train,he 's a carbon copy of his father .,c'est le portrait craché de son père .
491,train,he 's out of town on business .,il est affairé en dehors de la ville .
492,train,he 's behaving oddly .,il se comporte étrangement .
493,train,he 's always worrying about his daughter .,il se fait tout le temps du souci au sujet de sa fille .
494,train,he 's a southpaw .,c'est un gaucher .
495,train,he 's likely to be chosen .,il est probable qu'il sera choisi .
496,train,he 's on his way home .,il est sur le chemin de son domicile .
497,train,he 's a freshman .,c'est un bleu .
498,train,he 's a bit of a drunkard .,il est un peu alcoolique .
499,train,he 's walking around in his underwear .,il se promène en sous-vêtements .
500,train,he 's broke .,il est fauché .
501,train,he 's a well-known television personality .,c'est une personnalité bien connue de la télévision .
502,train,he 's a stand-up guy .,c'est un type sur qui on peut compter .
503,train,he 's a gambler .,il est joueur .
504,train,he 's in his late fifties .,il a la cinquantaine bien tassée .
505,train,he 's greedy and ruthless .,il est avide et impitoyable .
506,train,he 's in tokyo .,il est à tokyo .
